"Tree.ID","X.Ally","Y.Ally","Elevation.Ally","Total.Height.Ally","Height.To.Crown.Base.Ally","Max.Crown.Diameter.Ally","Min.Crown.Diameter.Ally","Crown.Rotation.Ally","R.Ally","G.Ally","B.Ally","DBH.Ally","Lean.Angle.From.Vertical.Ally","Lean.Azimuth.Ally","Status.Code.Ally","TopX.Ally","TopY.Ally","X.Bob","Y.Bob","Elevation.Bob","Total.Height.Bob","Height.To.Crown.Base.Bob","Max.Crown.Diameter.Bob","Min.Crown.Diameter.Bob","Crown.Rotation.Bob","R.Bob","G.Bob","B.Bob","DBH.Bob","Lean.Angle.From.Vertical.Bob","Lean.Azimuth.Bob","Status.Code.Bob","TopX.Bob","TopY.Bob","diffX","diffY","diffTopX","diffTopY","diff","diffTop","PlotID","Study","Year","Plot_Number","Plot_Name","Tag_Num","Species","DBH_cm","LiDAR_visible","Distance","Azimuth","Anomaly_Num","Anomaly1","Anomaly2","Anomaly3","Bear_damage_percent","Note","Xfield","Yfield","hanusHt","fvsHt","origdiffX.Ally","origdiffY.Ally","origdiff.Ally","origdiffX.Bob","origdiffY.Bob","origdiff.Bob","heightdiff"
"08_11_PSME",412578.2985,5280983.417,274.862494,38.30606,22.983636,4.69798,4.69798,0,244,120,50,0.448,0.663506,320.442497,0,412578.015999818,5280983.75900022,412578.326781,5280983.484552,-32767,38.302627,22.981577,4.69798,4.69798,0,244,120,50,0.448,0.62788,313.986448,0,412578.024780856,5280983.77605214,-0.0282810000353493,-0.0675519993528724,-0.00878103758441284,-0.0170519137755036,0.0732331043966449,0.0191800517326227,8,"T3",2021,8,"08_B_Alt-2_EVDP",11,"PSME",44.8,"Y",17.3,143,0,0,NA,NA,NA,NA,412578.572849901,5280983.29245568,34.0531852992178,29.3623734207101,-0.274349901010282,0.124544320628047,0.301295794834667,-0.246068900974933,0.192096319980919,0.31217126737934,0.00343300000000113
"08_16_TSHE",412558.209,5280989.143,266.67567,36.170796,21.702478,6.241178,6.241178,0,244,120,50,0.664,0.899329,299.31927,0,412557.714000018,5280989.42099998,412558.264681,5280989.352552,-32767,36.163962,21.698377,6.241178,6.241178,0,244,120,50,0.664,0.869151,278.95395,0,412557.72279614,5280989.43793174,-0.0556809999980032,-0.209552000276744,-0.00879612198332325,-0.016931751742959,0.216823464091787,0.0190802510211658,8,"T3",2021,8,"08_B_Alt-2_EVDP",16,"TSHE",66.4,"Y",12.9,225,0,0,NA,NA,NA,NA,412559.039772523,5280987.98717252,46.2514081308099,39.0073620828973,-0.830772523011547,1.15582748036832,1.42341847303087,-0.775091523013543,1.36537948064506,1.57004076227786,0.00683400000000489
"08_19_TSHE",412559.7095,5280999.8225,264.599605,37.202655,22.321593,4.476353,4.476353,0,244,120,50,0.398,0.633176,249.868058,0,412559.323499905,5280999.68099996,412559.886781,5280999.990553,-32767,37.095375,22.257225,4.476353,4.476353,0,244,120,50,0.398,1.277936,252.265882,0,412559.098781001,5280999.738553,-0.177281000011135,-0.168053000234067,0.224718903715257,-0.0575530361384153,0.244275180590701,0.231971846687775,8,"T3",2021,8,"08_B_Alt-2_EVDP",19,"TSHE",39.8,"Y",8.8,283,0,0,NA,NA,NA,NA,412559.58699343,5280999.08841928,33.9390524302007,27.977204545146,0.122506570012774,0.73408071976155,0.744232734312279,0.299787570023909,0.902133719995618,0.950640750175361,0.107280000000003
"08_2_PSME",412552.961,5281000.293,262.482994,34.278211,20.566926,4.172067,4.172067,0,244,120,50,0.372,1.649015,248.063764,0,412552.046000228,5280999.92450008,412553.167855,5281000.259402,-32767,34.297907,20.578744,4.172067,4.172067,0,244,120,50,0.372,1.703682,279.226767,0,412552.16135514,5281000.42290199,-0.206854999996722,0.0335979992523789,-0.115354912530165,-0.498401903547347,0.209565781026881,0.511577182157747,8,"T3",2021,8,"08_B_Alt-2_EVDP",2,"PSME",37.2,"Y",15.1,283,0,0,NA,NA,NA,NA,412553.448462022,5281000.50561092,29.7298348241142,26.0754215989962,-0.487462021992542,-0.212610919959843,0.531810705205554,-0.28060702199582,-0.246208919212222,0.373308361402491,0.0196960000000033
"08_20_TSHE",412562.1725,5281003.1925,265.313118,38.05862,22.835171,4.740641,4.740641,0,244,120,50,0.432,1.078929,282.736934,0,412561.473500169,5281003.35049996,412562.181281,5281003.153552,-32767,38.077757,22.846654,4.740641,4.740641,0,244,120,50,0.432,1.091663,301.356558,0,412561.561781105,5281003.53105193,-0.00878100004047155,0.0389479994773865,-0.0882809359463863,-0.180551975034177,0.0399255885993088,0.200978952480881,8,"T3",2021,8,"08_B_Alt-2_EVDP",20,"TSHE",43.2,"Y",8,314,0,0,NA,NA,NA,NA,412562.406731597,5281002.66611696,35.7964746100381,29.6290069697957,-0.234231596987229,0.526383039541543,0.576145420309995,-0.225450596946757,0.487435040064156,0.537048312487801,0.0191370000000006
"08_21_PSME",412565.504,5281008.798,266.495373,39.579815,23.747889,4.8273,4.8273,0,244,120,50,0.468,1.013218,296.748104,0,412564.879000241,5281009.11299988,412564.887781,5281009.129553,-32767,40.089166,24.053499,4.8273,4.8273,0,244,120,50,0.468,0.01,90,0,412564.894777879,5281009.129553,0.616219000017736,-0.331553000025451,-0.015777638356667,-0.0165531234815717,0.699752276029693,0.0228678763576754,8,"T3",2021,8,"08_B_Alt-2_EVDP",21,"PSME",46.8,"Y",11.3,350,0,0,NA,NA,NA,NA,412566.199225592,5281008.23717761,35.1244074117043,30.1706239889712,-0.695225592004135,0.560822390019894,0.893230304526848,-1.31144459202187,0.892375390045345,1.58625998963032,0.509350999999995
"08_22_PSME",412568.3045,5281006.2335,268.086854,32.204411,19.322646,3.885471,3.885471,0,244,120,50,0.334,0.506104,194.38526,0,412568.23382764,5281005.95795506,412568.314281,5281006.115553,-32767,32.571845,19.543107,3.885471,3.885471,0,244,120,50,0.334,0.682423,321.121066,0,412568.070780843,5281006.41755319,-0.00978099997155368,0.117947000078857,0.163046796689741,-0.45959812682122,0.118351860095418,0.48766248173133,8,"T3",2021,8,"08_B_Alt-2_EVDP",22,"PSME",33.4,"Y",8.4,2,0,0,NA,NA,NA,NA,412568.454605772,5281005.50373295,27.3986288348611,24.2841966156306,-0.150105771957897,0.729767049662769,0.745044756741887,-0.140324771986343,0.611820049583912,0.627705993842563,0.367434000000003
"08_23_PSME",412571.065,5281011.138,267.863792,36.579343,21.947605,4.97187,4.97187,0,244,120,50,0.491,1.647749,323.544098,0,412570.440000068,5281011.98399992,412570.829781,5281011.559553,-32767,36.836573,22.101943,4.97187,4.97187,0,244,120,50,0.491,0.906509,319.17477,0,412570.448781094,5281012.00055289,0.23521900002379,-0.42155299987644,-0.00878102582646534,-0.0165529763326049,0.482736894878584,0.0187378611381563,8,"T3",2021,8,"08_B_Alt-2_EVDP",23,"PSME",49.1,"Y",13.6,13,0,0,NA,NA,NA,NA,412571.220784339,5281010.36028288,36.3254331463678,31.0741856592003,-0.155784339003731,0.777717120014131,0.79316623670067,-0.39100333902752,1.19927011989057,1.26140097970194,0.25723
"08_24_TSHE",412576.7105,5281007.067,270.331014,35.236433,21.14186,3.865822,3.865822,0,244,120,50,0.326,1.903475,225.900041,0,412575.869999988,5281006.25249999,412576.707781,5281007.007552,-32767,35.220143,21.132086,3.865822,3.865822,0,244,120,50,0.326,1.360029,231.752307,0,412576.051281178,5281006.49005213,0.00271899998188019,0.0594480000436306,-0.181281189783476,-0.237552140839398,0.0595101476228128,0.298820831580889,8,"T3",2021,8,"08_B_Alt-2_EVDP",24,"TSHE",32.6,"Y",12.4,37,0,0,NA,NA,NA,NA,412575.623956287,5281007.01193033,29.6232653091703,24.1613882314493,1.08654371299781,0.0550696700811386,1.0879383754689,1.08382471301593,-0.00437832996249199,1.08383355655623,0.0162899999999979
"08_25_TSHE",412579.632,5281002.73,272.114967,35.45021,21.270126,3.972853,3.972853,0,244,120,50,0.338,0.179404,89.741913,0,412579.743000053,5281002.7305,412579.657781,5281002.688552,-32767,35.417697,21.250618,3.972853,3.972853,0,244,120,50,0.338,0.498793,44.211576,0,412579.872780971,5281002.90955197,-0.025781000033021,0.041448000818491,-0.129780918243341,-0.17905196826905,0.0488118503496052,0.221139535319006,8,"T3",2021,8,"08_B_Alt-2_EVDP",25,"TSHE",33.8,"Y",12.4,63,0,0,NA,NA,NA,NA,412579.2099309,5281002.7383322,30.3826615831048,24.8303320181369,0.422069099964574,-0.00833219941705465,0.422151336243332,0.447850099997595,-0.0497802002355456,0.450608233838827,0.0325130000000016
